"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "CSS", "JSON with Comments", "JSON", "Markdown", "Prisma", "comment", "blank", "total"
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/stores/useMutateUser.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/stores/userStore.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 5, 30
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/styles/globals.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 11, 28
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/utils/api.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 32, 7, 69
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/utils/helpers.ts", "TypeScript", 0, 136, 0, 0, 0, 0, 0, 0, 8, 13, 157
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/utils/schema.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/utils/types.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 13, 7, 53
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/utils/validators.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 6, 76
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/tailwind.config.cjs", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 29, 0, 0, 0, 6, 1, 36
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/turbo.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 5, 0, 11
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/vitest.config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 2506, 833, 129, 17, 29, 9380, 3, 138, 205, 370, 13610
