"filename", "language", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "YAML", "Diff", "Prisma", "comment", "blank", "total"
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/screens/signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/screens/train.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/stores/useBoxStore.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/stores/useSpeedTestStore.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 3, 70
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/stores/userStore.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 3, 32
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/types/nativewind.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/utils/cache.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/utils/trpc.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 17, 5, 68
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/tailwind.config.cjs", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/tsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/.eslintrc.cjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 1, 8
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/README.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 132
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/next.config.mjs", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 4, 28
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/postcss.config.cjs", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/cubeflasher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 11, 222
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/evensandodds.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 20, 193
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/flasherstartbutton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 5, 54
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/flashingWordsNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/flashingcell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 2, 25, 331
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/greendottext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/letterMatcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 10, 184
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/loadingspinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/numbermatcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 13, 194
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/pietimer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 5, 11, 110
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/schultedraw.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 5, 11, 134
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/schultetable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 20, 184
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 2, 4, 98
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/speedtest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 8, 198
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/tableswitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 61
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/tests/evensandodds.test.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 5, 97
"/home/jboyett/Documents/dev/github/iris-mobile/apps/nextjs/src/components/wordchanger.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 10, 78
